dataset,table,type
era5,UNAVAILABLE,NotFound: 404 GET https://bigquery.googleapis.com/bigquery/v2/projects/bigquery-public-data/datasets/era5/tables?prettyPrint=false: Not found: Dataset bigquery-public-data:era5
era5_land,UNAVAILABLE,NotFound: 404 GET https://bigquery.googleapis.com/bigquery/v2/projects/bigquery-public-data/datasets/era5_land/tables?prettyPrint=false: Not found: Dataset bigquery-public-data:era5_land
